                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2247,                 4.4058,                 4.2712,                0.00105,                0.18402,                0.00068,                 0.0002,                 3.0568,                 4.4128,                 4.1876,             0.00046641,             0.00046641,             0.00046641
                      2,                 2.8127,                 3.5539,                 3.6112,                 0.0015,                0.18428,                0.00582,                0.00193,                 3.0884,                 4.2629,                 4.3155,             0.00093341,             0.00093341,             0.00093341
                      3,                 2.4619,                 3.0186,                 3.1143,                0.45078,                0.15819,                0.13182,                0.05981,                 2.6076,                 3.7939,                 3.6401,               0.001391,               0.001391,               0.001391
                      4,                  2.183,                 2.5378,                 2.7258,                0.34835,                0.50242,                0.44559,                0.19188,                 1.9971,                 2.7879,                 2.6167,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.9911,                 2.2797,                 2.5324,                0.57253,                0.64296,                0.60599,                0.29013,                 1.7478,                 1.9527,                  2.291,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.7845,                 1.9551,                 2.3162,                0.71979,                0.62448,                 0.7089,                0.38166,                 1.4728,                 1.5102,                 2.0087,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.6689,                 1.7427,                  2.173,                 0.7328,                0.70759,                0.82587,                0.53337,                 1.1577,                 1.4331,                 1.6847,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.5358,                  1.572,                 2.0455,                 0.7545,                0.62277,                0.74507,                 0.4816,                 1.2304,                  1.531,                 1.7797,                0.00133,                0.00133,                0.00133
                      9,                   1.47,                 1.4883,                  1.976,                0.60901,                0.78089,                0.80184,                0.53992,                 1.1017,                 1.7191,                 1.5695,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.4117,                 1.4076,                 1.9077,                0.84924,                0.78424,                0.86963,                0.61399,                  1.038,                   1.04,                  1.577,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.3731,                 1.3785,                 1.8643,                 0.8609,                0.79555,                0.88261,                0.63262,                 1.0166,                0.95936,                  1.522,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.3229,                  1.343,                 1.8121,                0.85018,                0.80536,                0.89652,                0.62527,                0.94718,                0.94001,                 1.4411,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2709,                 1.2485,                 1.7716,                0.84594,                  0.806,                0.90181,                0.66647,                0.95278,                0.90713,                 1.4603,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2333,                  1.214,                  1.729,                0.90285,                0.89567,                 0.9316,                0.69321,                0.87177,                 0.8069,                 1.3675,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.1961,                 1.1643,                 1.6789,                  0.833,                0.89398,                0.91614,                0.68943,                 0.8792,                0.87447,                 1.3558,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1755,                 1.1383,                 1.6766,                0.81944,                0.90691,                 0.9273,                0.70677,                0.83927,                0.88957,                 1.3155,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1559,                 1.1277,                 1.6526,                0.78249,                0.92617,                 0.9117,                0.66015,                0.91834,                0.81938,                  1.339,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.1279,                 1.0713,                 1.6191,                0.85783,                0.88828,                0.92102,                0.75348,                0.74859,                0.77697,                 1.2683,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.0652,                  1.074,                 1.5705,                0.90833,                0.86207,                0.92998,                0.75875,                  0.721,                0.71819,                 1.2174,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.0221,                0.98053,                 1.5331,                0.82474,                0.83335,                 0.9243,                0.71781,                 0.7585,                0.92265,                  1.252,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.0532,                0.99362,                 1.5398,                0.88329,                0.87991,                 0.9404,                0.74878,                0.71228,                0.75899,                 1.2087,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.0353,                 1.0001,                 1.5273,                0.89332,                0.87538,                 0.9349,                0.75208,                0.71471,                0.70923,                 1.2017,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.0242,                0.95799,                  1.511,                0.93965,                  0.915,                0.95774,                0.76981,                0.74035,                0.70194,                 1.2324,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.0123,                0.95815,                 1.5089,                0.85911,                0.89729,                 0.9417,                0.78076,                0.64691,                0.71174,                 1.1592,              0.0011036,              0.0011036,              0.0011036
                     25,                0.98142,                0.93285,                 1.4682,                0.91375,                0.91912,                0.96387,                0.78902,                0.67328,                0.73448,                 1.1468,              0.0010895,              0.0010895,              0.0010895
                     26,                0.94885,                  0.881,                 1.4438,                 0.8973,                0.92862,                0.96063,                0.80504,                0.62795,                0.57567,                 1.1229,              0.0010753,              0.0010753,              0.0010753
                     27,                0.95776,                0.92026,                 1.4577,                0.81466,                0.86535,                0.93317,                0.76469,                0.62355,                0.85449,                 1.1513,              0.0010612,              0.0010612,              0.0010612
                     28,                0.90986,                0.85261,                 1.4117,                0.92607,                0.93739,                0.97008,                0.79661,                0.63538,                 0.6159,                 1.1335,               0.001047,               0.001047,               0.001047
                     29,                0.94396,                0.87554,                 1.4488,                0.93921,                0.92899,                0.97619,                0.81338,                0.63912,                0.59866,                 1.1322,              0.0010329,              0.0010329,              0.0010329
                     30,                 0.9056,                0.86537,                 1.4201,                0.90906,                0.93445,                0.96618,                0.81663,                0.60989,                0.61175,                 1.1045,              0.0010187,              0.0010187,              0.0010187
                     31,                0.88638,                 0.8473,                 1.4052,                0.86042,                 0.8988,                 0.9599,                0.80426,                0.60789,                0.69005,                  1.106,              0.0010046,              0.0010046,              0.0010046
                     32,                0.90898,                0.84137,                 1.4114,                0.93727,                0.90074,                0.96679,                0.80894,                0.64495,                0.59339,                 1.1207,             0.00099044,             0.00099044,             0.00099044
                     33,                0.88073,                0.80883,                 1.3868,                0.95052,                0.91219,                0.96623,                0.82491,                0.55103,                0.55502,                 1.0611,             0.00097629,             0.00097629,             0.00097629
                     34,                0.84939,                0.79927,                 1.3572,                0.90748,                0.85227,                0.94695,                0.80543,                0.59797,                0.69482,                 1.1036,             0.00096215,             0.00096215,             0.00096215
                     35,                0.86265,                0.79263,                 1.3769,                0.92949,                0.93834,                 0.9747,                0.83617,                 0.5712,                0.52681,                 1.0795,               0.000948,               0.000948,               0.000948
                     36,                0.86619,                0.76644,                  1.375,                0.91554,                0.95637,                0.97426,                0.81453,                0.57851,                0.50403,                 1.0772,             0.00093385,             0.00093385,             0.00093385
