                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.426,                 3.9957,                 4.3028,                0.00052,                0.17582,                0.00036,                  9e-05,                 3.3714,                 3.9523,                 4.1835,             0.00046641,             0.00046641,             0.00046641
                      2,                 2.9564,                 3.0643,                 3.6159,                0.00103,                0.33541,                0.00281,                0.00076,                 3.4055,                 3.8805,                 4.2687,             0.00093341,             0.00093341,             0.00093341
                      3,                 2.4993,                 2.5188,                 3.1792,                0.84738,                0.17514,                0.22471,                0.07947,                 2.7929,                 3.3361,                 3.6563,               0.001391,               0.001391,               0.001391
                      4,                 2.2024,                 2.1705,                  2.864,                0.55402,                0.56852,                0.60912,                 0.2398,                 1.9352,                 1.9744,                 2.7673,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.9941,                 1.9475,                 2.6339,                0.68298,                0.66918,                0.72019,                0.36479,                 1.7153,                 1.6584,                 2.4334,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.8238,                 1.6727,                 2.4939,                0.66722,                0.73495,                0.77861,                0.46106,                 1.4363,                 1.5371,                 2.2134,              0.0013583,              0.0013583,              0.0013583
                      7,                  1.722,                 1.5674,                 2.3285,                0.83207,                0.74135,                0.85295,                0.54947,                 1.2324,                 1.1221,                  1.963,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.5803,                 1.4374,                 2.1942,                0.83838,                0.81083,                0.86355,                0.57507,                 1.1508,                 1.0931,                 1.8854,                0.00133,                0.00133,                0.00133
                      9,                 1.5481,                 1.3642,                  2.157,                0.76594,                   0.85,                 0.8389,                0.56298,                 1.1398,                 1.0891,                 1.8343,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.4396,                 1.2995,                 2.0595,                 0.7533,                 0.8251,                0.86725,                0.60186,                 1.0576,                 1.0457,                 1.7324,              0.0013017,              0.0013017,              0.0013017
