                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3936,                 4.0516,                  4.231,                0.00073,                0.21745,                0.00053,                0.00014,                  3.359,                 4.1952,                  4.173,             0.00046641,             0.00046641,             0.00046641
                      2,                 2.8155,                 2.9966,                 3.5873,                0.00116,                  0.347,                0.00095,                0.00022,                 3.3812,                 3.8628,                 4.2319,             0.00093341,             0.00093341,             0.00093341
                      3,                 2.4378,                 2.5686,                  3.157,                0.44555,                0.12994,                0.11599,                0.04863,                 3.0472,                 3.5874,                 3.7431,               0.001391,               0.001391,               0.001391
                      4,                 2.1665,                 2.2765,                 2.8218,                0.30557,                0.37278,                0.34579,                0.12559,                 2.4205,                 2.4214,                 3.0884,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.9626,                 2.0126,                 2.5613,                0.60236,                0.61464,                0.61071,                0.35122,                 1.4679,                 1.8772,                  2.288,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.7659,                 1.7325,                 2.3883,                0.70412,                0.60427,                0.72969,                0.41537,                 1.4195,                 1.6745,                 2.1963,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.6792,                 1.6105,                 2.2412,                0.74332,                0.70181,                 0.7529,                0.47119,                 1.2901,                 1.4298,                 1.9867,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.5404,                   1.46,                 2.0985,                 0.7726,                0.78634,                0.84516,                0.53642,                 1.2317,                 1.4226,                 1.8759,                0.00133,                0.00133,                0.00133
                      9,                 1.5243,                  1.426,                 2.0505,                0.76565,                 0.8055,                0.84885,                0.54585,                 1.1948,                 1.2617,                 1.8241,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.4527,                 1.3447,                 1.9758,                0.77749,                0.72588,                0.84697,                0.55485,                 1.1281,                 1.1975,                  1.728,              0.0013017,              0.0013017,              0.0013017
                     11,                  1.427,                 1.3064,                 1.9295,                0.86158,                0.81496,                0.89876,                0.60353,                 1.1019,                0.91599,                 1.7076,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.3507,                 1.2407,                 1.8498,                0.89933,                0.75952,                0.89287,                0.61431,                 1.1134,                0.94519,                 1.6999,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2881,                 1.1844,                 1.8144,                0.90029,                0.81916,                0.91347,                0.67084,                0.97781,                0.84543,                 1.5632,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2688,                 1.1921,                 1.7927,                0.87075,                 0.8159,                0.90597,                0.66741,                0.95886,                0.88078,                  1.549,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2193,                 1.1295,                 1.7262,                0.82509,                0.84898,                0.91369,                0.67205,                0.93864,                 0.9718,                 1.5386,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1975,                 1.0681,                  1.702,                0.86571,                0.85702,                0.92637,                 0.7015,                0.87887,                0.88478,                 1.4712,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1508,                 1.0521,                 1.6643,                0.85959,                0.89225,                0.93816,                0.70656,                0.87143,                0.85472,                 1.4489,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.1362,                  1.001,                 1.6544,                0.92751,                0.89184,                0.95598,                0.73041,                0.79387,                0.72713,                 1.3713,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.0986,                 1.0251,                 1.6185,                0.94032,                0.87522,                0.93048,                0.70762,                0.92065,                0.80232,                 1.4972,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.0639,                0.93331,                 1.5699,                0.90885,                0.91063,                0.95978,                0.74298,                0.79863,                0.68265,                 1.3541,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.0538,                0.92974,                  1.563,                0.89555,                0.89185,                 0.9557,                0.75407,                0.74563,                0.73642,                 1.3025,              0.0011461,              0.0011461,              0.0011461
                     22,                   1.03,                0.93864,                 1.5335,                0.88549,                0.81401,                 0.9348,                0.71831,                0.76445,                0.81552,                 1.3274,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.0323,                0.91458,                 1.5348,                0.90892,                0.89555,                0.94664,                0.76021,                0.75467,                0.68294,                 1.3029,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.0309,                0.91161,                 1.5361,                0.93563,                0.90379,                0.95823,                0.77279,                0.72656,                 0.6387,                 1.2929,              0.0011036,              0.0011036,              0.0011036
                     25,                0.98111,                 0.8676,                 1.4832,                 0.9594,                0.90784,                0.95633,                0.78224,                0.69834,                0.59179,                 1.2377,              0.0010895,              0.0010895,              0.0010895
                     26,                0.94772,                0.82796,                  1.473,                0.92157,                0.91484,                0.95812,                0.76465,                0.77557,                0.62746,                 1.3183,              0.0010753,              0.0010753,              0.0010753
                     27,                0.97629,                0.85917,                 1.4923,                0.92332,                0.92021,                0.96602,                0.77112,                0.71335,                0.62062,                 1.2661,              0.0010612,              0.0010612,              0.0010612
                     28,                0.91321,                0.78818,                  1.427,                0.93512,                0.88746,                0.95021,                0.76795,                0.66781,                0.56925,                 1.2065,               0.001047,               0.001047,               0.001047
                     29,                0.93895,                 0.8056,                   1.45,                0.95316,                0.89201,                0.97553,                0.80429,                0.67428,                0.54793,                 1.2199,              0.0010329,              0.0010329,              0.0010329
                     30,                0.90049,                0.80245,                 1.4218,                0.95403,                0.93429,                0.97638,                0.81256,                0.65976,                0.52869,                 1.2266,              0.0010187,              0.0010187,              0.0010187
                     31,                 0.8848,                0.76632,                 1.4157,                0.94527,                0.88124,                0.96974,                0.78857,                0.68737,                0.59251,                  1.208,              0.0010046,              0.0010046,              0.0010046
                     32,                0.88399,                0.75604,                 1.4222,                0.94322,                0.94749,                 0.9789,                0.80745,                0.67341,                0.51302,                  1.212,             0.00099044,             0.00099044,             0.00099044
                     33,                0.87254,                0.72887,                 1.3926,                0.92015,                0.90745,                0.97143,                 0.7958,                0.69158,                0.58036,                 1.2185,             0.00097629,             0.00097629,             0.00097629
                     34,                0.85926,                0.73657,                 1.3795,                 0.9348,                0.94242,                0.97613,                0.80585,                0.71275,                0.51249,                 1.2279,             0.00096215,             0.00096215,             0.00096215
                     35,                0.86402,                 0.7064,                 1.4073,                0.94065,                0.91593,                0.96917,                0.81217,                0.66954,                0.56041,                  1.233,               0.000948,               0.000948,               0.000948
