                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2394,                 4.2189,                 4.2072,                0.00105,                0.21097,                0.00076,                0.00019,                 3.0174,                 4.3207,                 4.1851,             0.00046641,             0.00046641,             0.00046641
                      2,                 2.8415,                 3.2374,                 3.5676,                0.00191,                0.24172,                0.01964,                0.00528,                 2.9014,                 4.2396,                 4.1832,             0.00093341,             0.00093341,             0.00093341
                      3,                 2.4566,                 2.7549,                 3.1082,                 0.2887,                0.25982,                0.23308,                 0.0791,                 2.5343,                 3.4088,                 3.3162,               0.001391,               0.001391,               0.001391
                      4,                 2.1729,                 2.4459,                 2.7922,                0.36634,                0.41381,                0.32458,                0.12602,                 2.3744,                 3.4313,                 3.1309,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.963,                 2.1407,                 2.5411,                0.54482,                0.48541,                0.52286,                0.31027,                 1.4814,                 2.0328,                 2.2064,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.7229,                 1.8888,                 2.3036,                0.46257,                0.72184,                0.68741,                0.35849,                 1.3517,                 3.0985,                   1.92,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.6537,                 1.7391,                 2.1558,                0.70102,                0.59273,                0.70601,                0.42933,                  1.359,                 1.7088,                 1.8583,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.5449,                 1.5601,                 2.0421,                0.74183,                0.72757,                0.81878,                 0.4976,                 1.2597,                 1.2967,                 1.7147,                0.00133,                0.00133,                0.00133
                      9,                 1.4668,                 1.4782,                 1.9575,                0.66222,                0.75456,                0.79431,                0.52815,                 1.1398,                 1.3848,                  1.602,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.3878,                 1.3734,                 1.8728,                0.75611,                0.79344,                0.84604,                0.61258,                0.94737,                 1.1349,                  1.479,              0.0013017,              0.0013017,              0.0013017
